indicator,closest_climate_indicator,climate_similarity,second_closest_climate_indicator,second_closest_similarity,third_closest_climate_indicator,third_closest_similarity,nearest_rank
"Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",0.8423662196902498,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",0.8105659874177814,"Labor force participation rate, total (% of total population ages 15+) (national estimate)",0.6876107261905183,233
"Vulnerable employment, female (% of female employment) (modeled ILO estimate)",Employment in industry (% of total employment) (modeled ILO estimate),0.8356903378123585,Employment in services (% of total employment) (modeled ILO estimate),0.833579100509754,Employment in agriculture (% of total employment) (modeled ILO estimate),0.8313242422152356,234
"Vulnerable employment, male (% of male employment) (modeled ILO estimate)",Employment in industry (% of total employment) (modeled ILO estimate),0.8313910375246076,Employment in services (% of total employment) (modeled ILO estimate),0.829018460503232,Employment in agriculture (% of total employment) (modeled ILO estimate),0.8271166756515747,235
"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","Unemployment, total (% of total labor force) (modeled ILO estimate)",0.8184000885906124,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",0.6736387014823415,"Unemployment, total (% of total labor force) (national estimate)",0.6694785725021192,236
"People using safely managed sanitation services, urban (% of urban population)",People using safely managed sanitation services (% of population),0.8179869635395334,People using safely managed drinking water services (% of population),0.8176699902228894,People using at least basic drinking water services (% of population),0.7728096949439524,237
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",0.8165581147568327,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",0.8075276359212116,"Labor force participation rate, total (% of total population ages 15+) (national estimate)",0.6930691580510445,238
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",0.8132863635690968,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",0.8035528239880687,"Labor force participation rate, total (% of total population ages 15+) (national estimate)",0.6910152808592801,239
"People using at least basic drinking water services, urban (% of urban population)",People using at least basic drinking water services (% of population),0.8129449018629569,People using at least basic sanitation services (% of population),0.8082869202279813,People using safely managed drinking water services (% of population),0.7795289200035309,240
"People using safely managed sanitation services, rural (% of rural population)",People using safely managed sanitation services (% of population),0.8115750496440121,People using safely managed drinking water services (% of population),0.810568989735821,People using at least basic drinking water services (% of population),0.7677688161120263,241
Women who were first married by age 18 (% of women ages 20-24),Prevalence of anemia among women of reproductive age (% of women ages 15-49),0.8101461450835806,Pregnant women receiving prenatal care (%),0.8009109433344517,Prevalence of anemia among non-pregnant women (% of women ages 15-49),0.7877655664268172,242
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",0.8085696173354687,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",0.7613507392374256,"Labor force participation rate, total (% of total population ages 15+) (national estimate)",0.6872868317166769,243
"Wage and salaried workers, female (% of female employment) (modeled ILO estimate)",Employment in industry (% of total employment) (modeled ILO estimate),0.8084097230775815,Employment in services (% of total employment) (modeled ILO estimate),0.8033693133744949,Employment in agriculture (% of total employment) (modeled ILO estimate),0.7972323267865208,244
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",0.8079117164985319,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",0.7607449398256019,"Labor force participation rate, total (% of total population ages 15+) (national estimate)",0.6863563720512373,245
"Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","Unemployment, total (% of total labor force) (national estimate)",0.8070604659789549,Armed forces personnel (% of total labor force),0.7021551678229604,"Labor force, total",0.6823369971091897,246
"People using at least basic drinking water services, rural (% of rural population)",People using at least basic drinking water services (% of population),0.8067170535468021,People using at least basic sanitation services (% of population),0.8032831302859411,People using safely managed drinking water services (% of population),0.7726095707155343,247
"Contributing family workers, female (% of female employment) (modeled ILO estimate)",Employment in industry (% of total employment) (modeled ILO estimate),0.8048400771605403,Employment in services (% of total employment) (modeled ILO estimate),0.7990291025544514,Employment in agriculture (% of total employment) (modeled ILO estimate),0.7927840909613174,248
"Literacy rate, youth female (% of females ages 15-24)","Literacy rate, adult total (% of people ages 15 and above)",0.8045270896808225,"Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)",0.7384165481108581,Young people (ages 15-24) newly infected with HIV,0.6858153522054695,249
"Intentional homicides, female (per 100,000 female)","Automated teller machines (ATMs) (per 100,000 adults)",0.8044535269466858,"Mortality caused by road traffic injury (per 100,000 population)",0.7884346755122916,"Intentional homicides (per 100,000 people)",0.7633819786139967,250
"Self-employed, female (% of female employment) (modeled ILO estimate)",Employment in industry (% of total employment) (modeled ILO estimate),0.8039030166829361,Employment in services (% of total employment) (modeled ILO estimate),0.7994871229915035,Employment in agriculture (% of total employment) (modeled ILO estimate),0.7948360116942352,251
"Literacy rate, youth male (% of males ages 15-24)","Literacy rate, adult total (% of people ages 15 and above)",0.8037696741598891,"Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)",0.7378729420974519,Young people (ages 15-24) newly infected with HIV,0.685177307882094,252
"Wage and salaried workers, male (% of male employment) (modeled ILO estimate)",Employment in industry (% of total employment) (modeled ILO estimate),0.8035555770365591,Employment in services (% of total employment) (modeled ILO estimate),0.7982794469183047,Employment in agriculture (% of total employment) (modeled ILO estimate),0.7925296695778056,253
"Contributing family workers, male (% of male employment) (modeled ILO estimate)",Employment in industry (% of total employment) (modeled ILO estimate),0.7998939927986229,Employment in services (% of total employment) (modeled ILO estimate),0.7938530720259057,Employment in agriculture (% of total employment) (modeled ILO estimate),0.787995804988416,254
WBL: Enforcement Perceptions Index (scale 0-100),Consumer price index (2010 = 100),0.7997678530699627,Wholesale price index (2010 = 100),0.7993570403208816,Liner shipping connectivity index (maximum value in 2004 = 100),0.7625327051038856,255
"Intentional homicides, male (per 100,000 male)","Automated teller machines (ATMs) (per 100,000 adults)",0.7996680740479963,"Mortality caused by road traffic injury (per 100,000 population)",0.7833232179138913,"Intentional homicides (per 100,000 people)",0.7590704746283813,256
"Self-employed, male (% of male employment) (modeled ILO estimate)",Employment in industry (% of total employment) (modeled ILO estimate),0.7991027178481765,Employment in services (% of total employment) (modeled ILO estimate),0.794445384730806,Employment in agriculture (% of total employment) (modeled ILO estimate),0.7901749147341098,257
WBL: Legal Framework Index (scale 0-100),Consumer price index (2010 = 100),0.7988335457227075,Wholesale price index (2010 = 100),0.7983833441339414,Liner shipping connectivity index (maximum value in 2004 = 100),0.7596655813725468,258
WBL: Supportive Framework Index (scale 0-100),Consumer price index (2010 = 100),0.7988324270839068,Wholesale price index (2010 = 100),0.7983821958772923,Liner shipping connectivity index (maximum value in 2004 = 100),0.7596654894160279,259
"Employers, female (% of female employment) (modeled ILO estimate)",Employment in industry (% of total employment) (modeled ILO estimate),0.7950015273662718,Employment in services (% of total employment) (modeled ILO estimate),0.7929229648296088,Employment in agriculture (% of total employment) (modeled ILO estimate),0.7896274767568298,260
"Labor force participation rate, female (% of female population ages 15+) (national estimate)","Labor force participation rate, total (% of total population ages 15+) (national estimate)",0.7948724765458578,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",0.685317886280689,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",0.6763827152885035,261
"People with basic handwashing facilities including soap and water, urban (% of urban population)",Population in urban agglomerations of more than 1 million,0.79446318514624,People with basic handwashing facilities including soap and water (% of population),0.7557317053086795,Population in urban agglomerations of more than 1 million (% of total population),0.6239096711476321,262
"Labor force participation rate, male (% of male population ages 15+) (national estimate)","Labor force participation rate, total (% of total population ages 15+) (national estimate)",0.7914935080661027,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",0.6817602222587184,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",0.6720925586811162,263
"Employers, male (% of male employment) (modeled ILO estimate)",Employment in industry (% of total employment) (modeled ILO estimate),0.789787367866388,Employment in services (% of total employment) (modeled ILO estimate),0.7874515945754578,Employment in agriculture (% of total employment) (modeled ILO estimate),0.7845376777679933,264
"Average working hours of children, working only, ages 7-14 (hours per week)",Average precipitation in depth (mm per year),0.7894162864602777,Average transaction cost of sending remittances to a specific country (%),0.4044092028625643,Children (ages 0-14) newly infected with HIV,0.3890336847792877,265
"Labor force participation rate for ages 15-24, female (%) (national estimate)","Labor force participation rate, total (% of total population ages 15+) (national estimate)",0.7866505623559394,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",0.6602208846798401,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",0.6116930860524757,266
"Labor force participation rate for ages 15-24, male (%) (national estimate)","Labor force participation rate, total (% of total population ages 15+) (national estimate)",0.7858918365631765,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",0.6598142220606515,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",0.6113280159026097,267
"Average working hours of children, working only, female, ages 7-14 (hours per week)",Average precipitation in depth (mm per year),0.7849756827077935,Average transaction cost of sending remittances to a specific country (%),0.40147837019809995,Prosperity gap (average shortfall from a prosperity standard of $25/day),0.3872854168127533,268
"Average working hours of children, study and work, ages 7-14 (hours per week)",Average precipitation in depth (mm per year),0.7845759376157526,Average transaction cost of sending remittances to a specific country (%),0.40006321641029063,Children (ages 0-14) newly infected with HIV,0.3964891727919413,269
"Average working hours of children, working only, male, ages 7-14 (hours per week)",Average precipitation in depth (mm per year),0.7842117331694345,Average transaction cost of sending remittances to a specific country (%),0.4010814749334617,Prosperity gap (average shortfall from a prosperity standard of $25/day),0.38708932367595916,270
"Average working hours of children, study and work, female, ages 7-14 (hours per week)",Average precipitation in depth (mm per year),0.7781276353643692,Prosperity gap (average shortfall from a prosperity standard of $25/day),0.3978390274975906,Average transaction cost of sending remittances to a specific country (%),0.39619465550606203,271
Population ages 15-64 (% of total population),"Prevalence of HIV, total (% of population ages 15-49)",0.7780174544825162,Women's share of population ages 15+ living with HIV (%),0.7167600031198177,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",0.6447833077216201,272
"Average working hours of children, study and work, male, ages 7-14 (hours per week)",Average precipitation in depth (mm per year),0.7775004260985267,Prosperity gap (average shortfall from a prosperity standard of $25/day),0.3976782290171731,Average transaction cost of sending remittances to a specific country (%),0.3958994207765618,273
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",0.7770941080900093,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",0.7300869124521889,"Unemployment, total (% of total labor force) (modeled ILO estimate)",0.6662163702590463,274
Rural population (% of total population),"Population, total",0.7727865706315795,Population living in areas where elevation is below 5 meters (% of total population),0.6711818544555366,Access to clean fuels and technologies for cooking (% of population),0.5819750837765947,275
"People using at least basic sanitation services, urban (% of urban population)",People using at least basic drinking water services (% of population),0.7720153167017957,People using at least basic sanitation services (% of population),0.7718235781897753,People using safely managed drinking water services (% of population),0.7322472773038747,276
"Access to clean fuels and technologies for cooking, rural (% of rural population)",Access to clean fuels and technologies for cooking (% of population),0.7680042373816043,Access to electricity (% of population),0.5702673420810996,People practicing open defecation (% of population),0.476191418742381,277
"People using at least basic sanitation services, rural (% of rural population)",People using at least basic sanitation services (% of population),0.7658995029691359,People using at least basic drinking water services (% of population),0.7648473210515592,People using safely managed drinking water services (% of population),0.7245137187178168,278
"Population ages 15-64, total","Prevalence of HIV, total (% of population ages 15-49)",0.7612277889176698,Women's share of population ages 15+ living with HIV (%),0.7118256565682248,"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)",0.6977788548646596,279
Population ages 0-14 (% of total population),"Population, total",0.7606240353413827,Population in urban agglomerations of more than 1 million (% of total population),0.6242861168127107,Population in largest city,0.5861280176127318,280
"Literacy rate, youth (ages 15-24), gender parity index (GPI)","Literacy rate, adult total (% of people ages 15 and above)",0.7566858547759249,"Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)",0.6131728900020822,Young people (ages 15-24) newly infected with HIV,0.588884753552309,281
"People with basic handwashing facilities including soap and water, rural (% of rural population)",People with basic handwashing facilities including soap and water (% of population),0.7530633577792952,People practicing open defecation (% of population),0.6130908342916817,People using at least basic sanitation services (% of population),0.4691713952172466,282
Ratio of female to male labor force participation rate (%) (national estimate),"Labor force participation rate, total (% of total population ages 15+) (national estimate)",0.7483587888139379,"Labor force, total",0.6344777172037138,"Unemployment, total (% of total labor force) (national estimate)",0.624230756354353,283
"Children in employment, total (% of children ages 7-14)",Exclusive breastfeeding (% of children under 6 months),0.7468152333720033,"Immunization, DPT (% of children ages 12-23 months)",0.734769181451345,"Immunization, measles (% of children ages 12-23 months)",0.7347689193199707,284
"Unemployment, female (% of female labor force) (modeled ILO estimate)","Unemployment, total (% of total labor force) (modeled ILO estimate)",0.7448808770347456,"Labor force, total",0.5490164595289871,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",0.5283956170785196,285
"Part time employment, female (% of total female employment)",Female share of employment in senior and middle management (%),0.7411708951087648,"Part time employment, total (% of total employment)",0.677645106958991,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",0.585986429100777,286
"Unemployment, male (% of male labor force) (modeled ILO estimate)","Unemployment, total (% of total labor force) (modeled ILO estimate)",0.7382867809696936,"Labor force, total",0.5465806100143266,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",0.5344079948132671,287
"Over-age students, primary, female (% of female enrollment)","Over-age students, primary (% of enrollment)",0.7332690181605074,"School enrollment, primary, private (% of total primary)",0.520425048549889,"School enrollment, primary (% net)",0.5036420943134834,288
"Over-age students, primary, male (% of male enrollment)","Over-age students, primary (% of enrollment)",0.7256750445135072,"School enrollment, primary, private (% of total primary)",0.5146683276485691,"School enrollment, primary (% net)",0.49836038986386966,289
Child employment in services (% of economically active children ages 7-14),"Immunization, DPT (% of children ages 12-23 months)",0.7210943351911717,"Immunization, measles (% of children ages 12-23 months)",0.721094136110573,Children (ages 0-14) newly infected with HIV,0.6809535800103357,290
"Unemployment, female (% of female labor force) (national estimate)","Unemployment, total (% of total labor force) (national estimate)",0.7173823710771235,"Labor force, total",0.621800119703398,Armed forces personnel (% of total labor force),0.6069525859364515,291
"Survey mean consumption or income per capita, bottom 40% of population (2017 PPP $ per day)",Poverty gap at $6.85 a day (2017 PPP) (%),0.7131479208374072,Poverty gap at $2.15 a day (2017 PPP) (%),0.7014827735865666,Poverty headcount ratio at $6.85 a day (2017 PPP) (% of population),0.6821961756752775,292
"Unemployment, male (% of male labor force) (national estimate)","Unemployment, total (% of total labor force) (national estimate)",0.710773141405766,"Labor force, total",0.617454580510541,Armed forces personnel (% of total labor force),0.5988707072226164,293
Child employment in agriculture (% of economically active children ages 7-14),"Immunization, DPT (% of children ages 12-23 months)",0.7105583582963925,"Immunization, measles (% of children ages 12-23 months)",0.7105582254048802,Children (ages 0-14) newly infected with HIV,0.6693179450563047,294
"Mortality rate, adult, female (per 1,000 female adults)","Suicide mortality rate (per 100,000 population)",0.7070508414837908,"Mortality rate attributed to unintentional poisoning (per 100,000 population)",0.6804826763944971,"Mortality rate, under-5 (per 1,000 live births)",0.6714308733315136,295
Child employment in manufacturing (% of economically active children ages 7-14),"Immunization, DPT (% of children ages 12-23 months)",0.7021355288520161,"Immunization, measles (% of children ages 12-23 months)",0.7021355283927321,Children (ages 0-14) newly infected with HIV,0.6648943428019399,296
"Mortality rate, adult, male (per 1,000 male adults)","Suicide mortality rate (per 100,000 population)",0.7019940929450292,"Mortality rate attributed to unintentional poisoning (per 100,000 population)",0.6747822031892969,"Mortality rate, under-5 (per 1,000 live births)",0.6679974429054861,297
"Population ages 15-64, female",Women's share of population ages 15+ living with HIV (%),0.697257464178704,"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)",0.6843852842596465,"Prevalence of HIV, total (% of population ages 15-49)",0.6693725493577185,298
"Population ages 15-64, male",Women's share of population ages 15+ living with HIV (%),0.6961427978867809,"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)",0.683503841190986,"Prevalence of HIV, total (% of population ages 15-49)",0.667979391351329,299
B-READY: International Trade Pillar 1: Quality of Regulations for International Trade,Taxes on international trade (% of revenue),0.6960409110997765,Taxes on international trade (current LCU),0.6794033427716252,Trade (% of GDP),0.6052834461120565,300
Average time to clear exports through customs (days),High-technology exports (% of manufactured exports),0.691760775818297,Medium and high-tech exports (% manufactured exports),0.6899030131484106,Arms exports (SIPRI trend indicator values),0.6610966273653901,301
"Population ages 20-24, female (% of female population)",Diabetes prevalence (% of population ages 20 to 79),0.6903647444025462,Women's share of population ages 15+ living with HIV (%),0.45151162690413926,Population in largest city,0.41172129208933694,302
"Population ages 20-24, male (% of male population)",Diabetes prevalence (% of population ages 20 to 79),0.6833540557638579,Women's share of population ages 15+ living with HIV (%),0.44821464369072694,Population in largest city,0.40886221632638997,303
"B-READY: International Trade Pillar 3: Efficiency of Importing Goods, Exporting Goods, and Engaging in Digital Trade",Taxes on international trade (% of revenue),0.6809936244309792,Taxes on international trade (current LCU),0.6619287603809872,Trade (% of GDP),0.6238547935902911,304
B-READY: International Trade Pillar 2: Quality of Public Services for the Facilitation of International Trade,Taxes on international trade (% of revenue),0.6809096126342741,Taxes on international trade (current LCU),0.6704706315300762,Trade (% of GDP),0.590064553304638,305
Average time to clear imports through customs (days),Arms imports (SIPRI trend indicator values),0.6706538870412675,Food imports (% of merchandise imports),0.6488398044663863,Fuel imports (% of merchandise imports),0.6487756074765658,306
Population ages 65 and above (% of total population),"Population, total",0.6701094606793475,Diabetes prevalence (% of population ages 20 to 79),0.6410510914599049,Population in urban agglomerations of more than 1 million (% of total population),0.5353293863518029,307
"Part time employment, male (% of total male employment)","Part time employment, total (% of total employment)",0.6683298020619358,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",0.5818055551980956,Employment in industry (% of total employment) (modeled ILO estimate),0.5673826077751607,308
"People practicing open defecation, rural (% of rural population)",People practicing open defecation (% of population),0.6640616517808846,Access to clean fuels and technologies for cooking (% of population),0.5864389836809745,Access to electricity (% of population),0.4501333569276875,309
"Survey mean consumption or income per capita, total population (2017 PPP $ per day)",Poverty gap at $6.85 a day (2017 PPP) (%),0.6631199163468838,Poverty gap at $2.15 a day (2017 PPP) (%),0.6525964523273411,Poverty headcount ratio at $6.85 a day (2017 PPP) (% of population),0.6423541045403689,310
"Child employment in services, female (% of female economically active children ages 7-14)","Immunization, DPT (% of children ages 12-23 months)",0.6609387314242148,"Immunization, measles (% of children ages 12-23 months)",0.6609385138672293,Children (ages 0-14) newly infected with HIV,0.6192452519713766,311
"Access to electricity, rural (% of rural population)",Access to clean fuels and technologies for cooking (% of population),0.6599313694729156,Access to electricity (% of population),0.6264901844919548,People practicing open defecation (% of population),0.44807611865801444,312
"Child employment in services, male (% of male economically active children ages 7-14)","Immunization, DPT (% of children ages 12-23 months)",0.6597008292419722,"Immunization, measles (% of children ages 12-23 months)",0.6597005807617052,Children (ages 0-14) newly infected with HIV,0.6174429365611999,313
"Children in employment, female (% of female children ages 7-14)",Exclusive breastfeeding (% of children under 6 months),0.6566734666730283,"Immunization, HepB3 (% of one-year-old children)",0.6337754324122826,"Immunization, DPT (% of children ages 12-23 months)",0.6287968505998585,314
"Children in employment, work only (% of children in employment, ages 7-14)",Exclusive breastfeeding (% of children under 6 months),0.656561232436484,"Immunization, HepB3 (% of one-year-old children)",0.6419277490414552,Children (ages 0-14) newly infected with HIV,0.5180081582147444,315
Use of insecticide-treated bed nets (% of under-5 population),Population in largest city,0.6560989081013308,Energy use (kg of oil equivalent per capita),0.6355551949860592,GDP per unit of energy use (PPP $ per kg of oil equivalent),0.610708520761971,316
"Children in employment, male (% of male children ages 7-14)",Exclusive breastfeeding (% of children under 6 months),0.6542951130263398,"Immunization, HepB3 (% of one-year-old children)",0.6306544043923669,"Immunization, DPT (% of children ages 12-23 months)",0.6265442135862497,317
"Child employment in agriculture, female (% of female economically active children ages 7-14)","Immunization, DPT (% of children ages 12-23 months)",0.653200227397802,"Immunization, measles (% of children ages 12-23 months)",0.6532000703642468,Children (ages 0-14) newly infected with HIV,0.6104708268024293,318
"Child employment in agriculture, male (% of male economically active children ages 7-14)","Immunization, DPT (% of children ages 12-23 months)",0.6519658431106949,"Immunization, measles (% of children ages 12-23 months)",0.6519656555898596,Children (ages 0-14) newly infected with HIV,0.6086896619529054,319
"Child employment in manufacturing, female (% of female economically active children ages 7-14)","Immunization, DPT (% of children ages 12-23 months)",0.6497411031532545,"Immunization, measles (% of children ages 12-23 months)",0.6497410558334757,Children (ages 0-14) newly infected with HIV,0.610118433764714,320
"Children in employment, study and work (% of children in employment, ages 7-14)",Exclusive breastfeeding (% of children under 6 months),0.6495674506022885,"Immunization, HepB3 (% of one-year-old children)",0.6371722644892465,Children (ages 0-14) newly infected with HIV,0.5197204708689217,321
"Child employment in manufacturing, male (% of male economically active children ages 7-14)","Immunization, DPT (% of children ages 12-23 months)",0.6485726569483455,"Immunization, measles (% of children ages 12-23 months)",0.6485725801500821,Children (ages 0-14) newly infected with HIV,0.6084269317868869,322
"Children in employment, self-employed (% of children in employment, ages 7-14)",Exclusive breastfeeding (% of children under 6 months),0.6451098129095937,"Immunization, HepB3 (% of one-year-old children)",0.6329498770004676,Children (ages 0-14) newly infected with HIV,0.5017481718627527,323
Time spent dealing with the requirements of government regulations (% of senior management time),"Lead time to export, median case (days)",0.6434915974439425,"Lead time to import, median case (days)",0.6410287982487519,Domestic general government health expenditure (% of general government expenditure),0.6227064003079135,324
"Children in employment, wage workers (% of children in employment, ages 7-14)",Exclusive breastfeeding (% of children under 6 months),0.6428781849601788,"Immunization, HepB3 (% of one-year-old children)",0.6287531649470645,Children (ages 0-14) newly infected with HIV,0.4939183925572792,325
"Individuals using the Internet, female (% of female population)",Individuals using the Internet (% of population),0.631799524001701,Female share of employment in senior and middle management (%),0.48822166582911086,People using safely managed sanitation services (% of population),0.32756444487919,326
"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",Electric power consumption (kWh per capita),0.6308836451110138,Real interest rate (%),0.49393645683720466,Adjusted net national income per capita (annual % growth),0.47115775504477986,327
"Children in employment, unpaid family workers (% of children in employment, ages 7-14)",Exclusive breastfeeding (% of children under 6 months),0.6304926624052883,"Immunization, HepB3 (% of one-year-old children)",0.6156052412863718,Children (ages 0-14) newly infected with HIV,0.4781843320934325,328
"Population ages 65 and above, female",Diabetes prevalence (% of population ages 20 to 79),0.624882796859066,Population in largest city,0.32346500577514026,Prevalence of undernourishment (% of population),0.3210216181378349,329
"Tertiary education, academic staff (% female)",Expenditure on tertiary education (% of government expenditure on education),0.6247155129955662,Expenditure on primary education (% of government expenditure on education),0.6078818610608415,Expenditure on secondary education (% of government expenditure on education),0.6046375320614497,330
"Individuals using the Internet, male (% of male population)",Individuals using the Internet (% of population),0.6239521665558354,People using safely managed sanitation services (% of population),0.3243362644929866,People using safely managed drinking water services (% of population),0.31927779662708455,331
"Population ages 65 and above, male",Diabetes prevalence (% of population ages 20 to 79),0.6234648885775312,Population in largest city,0.323313605158962,Prevalence of undernourishment (% of population),0.3196535285636898,332
"Droughts, floods, extreme temperatures (% of population, average 1990-2009)",Population in largest city,0.6220483353222295,"Population, total",0.5472705760976819,Population in urban agglomerations of more than 1 million (% of total population),0.5227302522061771,333
"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)","Unemployment, total (% of total labor force) (modeled ILO estimate)",0.621327618433448,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",0.5077264610227094,"Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)",0.5023687974754284,334
"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)","Unemployment, total (% of total labor force) (modeled ILO estimate)",0.6205539365518344,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",0.5150129788302579,"Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)",0.4959174145239995,335
"Population ages 0-14, total","Population, total",0.6130350652464486,Children (ages 0-14) newly infected with HIV,0.5759010191487169,Diabetes prevalence (% of population ages 20 to 79),0.5609359140222655,336
"Population ages 65 and above, total",Diabetes prevalence (% of population ages 20 to 79),0.6118851838328982,"Population, total",0.49576676414728804,"Armed forces personnel, total",0.408832928894004,337
"Children in employment, work only, female (% of female children in employment, ages 7-14)",Exclusive breastfeeding (% of children under 6 months),0.6100821063305356,"Immunization, HepB3 (% of one-year-old children)",0.5960518268204698,Female share of employment in senior and middle management (%),0.5165611661252387,338
Sex ratio at birth (male births per female births),"Mortality rate, infant (per 1,000 live births)",0.6094369119781796,"Mortality rate, neonatal (per 1,000 live births)",0.6003902368199432,"Mortality rate, under-5 (per 1,000 live births)",0.5986691140949049,339
"Children in employment, work only, male (% of male children in employment, ages 7-14)",Exclusive breastfeeding (% of children under 6 months),0.6092311325953425,"Immunization, HepB3 (% of one-year-old children)",0.5946622260415997,Prevalence of anemia among children (% of children ages 6-59 months),0.47191580898624064,340
"Repeaters, primary, female (% of female enrollment)","Over-age students, primary (% of enrollment)",0.6072636352751113,"School enrollment, primary, private (% of total primary)",0.5396805585803052,"School enrollment, primary (% net)",0.5193757250345146,341
"Children in employment, study and work, female (% of female children in employment, ages 7-14)",Exclusive breastfeeding (% of children under 6 months),0.6070982772882022,"Immunization, HepB3 (% of one-year-old children)",0.5950246345564099,Female share of employment in senior and middle management (%),0.5006814441732776,342
"Children in employment, study and work, male (% of male children in employment, ages 7-14)",Exclusive breastfeeding (% of children under 6 months),0.6063480456537148,"Immunization, HepB3 (% of one-year-old children)",0.5937484779528518,Children (ages 0-14) newly infected with HIV,0.4734184551142504,343
"Survival to age 65, female (% of cohort)","Persistence to grade 5, total (% of cohort)",0.605149667752534,"Persistence to last grade of primary, total (% of cohort)",0.5805757165552187,Net intake rate in grade 1 (% of official school-age population),0.44200199228090753,344
"Survival to age 65, male (% of cohort)","Persistence to grade 5, total (% of cohort)",0.6035850879260034,"Persistence to last grade of primary, total (% of cohort)",0.5788885165629906,Net intake rate in grade 1 (% of official school-age population),0.4413682735965252,345
"Probability of dying among adolescents ages 15-19 years (per 1,000)","Adolescent fertility rate (births per 1,000 women ages 15-19)",0.6008869415823723,"Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)",0.5646716125751969,"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)",0.5522257992197639,346
"Repeaters, primary, male (% of male enrollment)","Over-age students, primary (% of enrollment)",0.5998390064666693,"School enrollment, primary, private (% of total primary)",0.5326565799295943,"School enrollment, primary (% net)",0.5129237508491596,347
"Children in employment, self-employed, female (% of female children in employment, ages 7-14)",Exclusive breastfeeding (% of children under 6 months),0.5985535967353962,"Immunization, HepB3 (% of one-year-old children)",0.5868976347190011,Female share of employment in senior and middle management (%),0.5223462282745682,348
ARI treatment (% of children under 5 taken to a health provider),External health expenditure (% of current health expenditure),0.5984308195531289,Proportion of population facing financial hardship due to out-of-pocket health expenditure (%),0.5982781365090897,Domestic private health expenditure (% of current health expenditure),0.5919451280124456,349
"Children in employment, self-employed, male (% of male children in employment, ages 7-14)",Exclusive breastfeeding (% of children under 6 months),0.5978709410743814,"Immunization, HepB3 (% of one-year-old children)",0.5856568437575788,Prevalence of anemia among children (% of children ages 6-59 months),0.46207046644036875,350
